"","CD_AGSN","DPO_EmAGSN","PopEmDPO_EmAGSN"
"1","51034030004","2134","7383"
"2","51034030005","2709","9498"
"3","51034030006","1952","6936"
"4","51034030007","197","715"
"5","51034030008","1867","6426"
"6","51034030009","1031","3412"
"7","51034030010","125","463"
"8","51034030011","227","761"
"9","51034030012","818","2731"
"10","51034030013","3729","12732"
"11","51084020001","230","780"
"12","51084020002","359","1306"
"13","51084020003","234","734"
"14","51084020004","860","3105"
"15","31011020002","146","509"
"16","31015080001","329","1175"
"17","31015080002","265","906"
"18","31017060001","158","555"
"19","31017060002","126","495"
"20","31052020001","167","585"
"21","31062000001","193","703"
"22","31062000002","167","587"
"23","31062000004","208","711"
"24","31062000007","203","667"
"25","31062000008","1669","5668"
"26","31062000009","127","446"
"27","31062000011","99","356"
"28","31062000013","493","1698"
"29","31062000014","900","3023"
"30","31062000015","192","673"
"31","31062000017","1197","4025"
"32","31062000019","138","448"
"33","31062000022","101","343"
"34","31062000024","286","990"
"35","31062000031","132","502"
"36","31062000032","475","1693"
"37","31062000037","885","3100"
"38","31062000039","231","760"
"39","31062000042","159","587"
"40","31062000043","318","954"
"41","31062000045","1240","4341"
"42","31062000046","527","1789"
"43","31062000047","149","505"
"44","31062000049","465","1525"
"45","31062000051","1147","3715"
"46","31062000052","211","808"
"47","31062000055","293","1346"
"48","31062000061","407","1425"
"49","31062000063","1850","6218"
"50","31062000064","483","1603"
"51","31062000066","563","1898"
"52","31062000069","65","225"
"53","31062000071","860","2987"
"54","31062000072","1768","6305"
"55","31062000073","391","1348"
"56","31062000077","1897","6568"
"57","31062000078","401","1391"
"58","31062000081","837","2833"
"59","31062000082","494","1661"
"60","31062000084","427","1591"
"61","31062000087","638","2273"
"62","31062000088","2219","7999"
"63","31062000089","1212","4074"
"64","31062000090","299","999"
"65","31062000093","604","2092"
"66","31062000094","166","618"
"67","31062000095","1278","4453"
"68","31062000096","323","1111"
"69","31062000097","452","1671"
"70","31062000099","841","2849"
"71","31062000107","236","785"
"72","31062000111","808","2782"
"73","31062000113","1743","6082"
"74","31062000115","549","1899"
"75","31062000123","1876","7055"
"76","31062000130","1150","4132"
"77","31062000133","5169","17218"
"78","31062000141","129","417"
"79","31062000143","329","1071"
"80","31062000152","271","958"
"81","31062000158","150","546"
"82","31062000166","2714","9891"
"83","31062000169","974","3541"
"84","31062000170","452","1597"
"85","31062000172","180","698"
"86","31062000173","163","534"
"87","31062000176","4016","14050"
"88","31062000183","456","1582"
"89","31062000185","703","2486"
"90","31062000194","86","328"
"91","31062000196","311","1173"
"92","31062000197","167","565"
"93","31062000198","447","1491"
"94","31062000199","191","663"
"95","31062000201","193","683"
"96","31062000202","341","1185"
"97","31062000203","171","591"
"98","31062000204","1112","4078"
"99","31062000208","189","704"
"100","31062000209","865","3002"
"101","31062000210","79","300"
"102","31062000213","97","367"
"103","31062000214","71","259"
"104","31062000215","78","241"
"105","31062000216","69","263"
"106","31062000217","804","2776"
"107","31062000219","408","1294"
"108","31062000222","111","335"
"109","31062000223","182","646"
"110","31062000225","91","309"
"111","31062000227","447","1561"
"112","31062000228","54","173"
"113","31062000229","264","856"
"114","31062000230","88","350"
"115","31062000231","96","366"
"116","31062000233","80","343"
"117","31062000234","87","347"
"118","31062000235","154","529"
"119","31062000236","255","819"
"120","31062000237","403","1399"
"121","31062000238","612","1930"
"122","31062000239","179","666"
"123","31062000240","3641","11413"
"124","31062000241","57","195"
"125","31062000243","200","704"
"126","31062000245","62","208"
"127","31062000246","384","1348"
"128","31062000248","96","298"
"129","31062000249","464","1704"
"130","31062000250","396","1583"
"131","31062000251","405","1444"
"132","31062000252","240","910"
"133","31062000253","234","892"
"134","31062000254","123","397"
"135","31062000256","57","236"
"136","31062000257","109","391"
"137","31062000258","53","182"
"138","31062000259","60","195"
"139","31062000260","107","370"
"140","31062000262","87","337"
"141","31062000263","3965","14977"
"142","31062000265","110","414"
"143","31062000266","1030","3677"
"144","31062000268","200","701"
"145","31062000269","266","971"
"146","31062000270","88","340"
"147","31062000272","1519","5308"
"148","31062000273","83","346"
"149","31062000274","131","420"
"150","31062000275","55","194"
"151","31062000276","159","588"
"152","31062000277","124","447"
"153","31062000278","144","484"
"154","31062000281","886","3228"
"155","31062000282","199","699"
"156","31062000283","163","562"
"157","31062000284","352","1127"
"158","31062000285","114","405"
"159","31062000286","46","153"
"160","31062000287","441","1515"
"161","31062000288","452","1686"
"162","31062000289","259","952"
"163","31062000290","342","1184"
"164","31062000291","549","1903"
"165","31062000292","296","1117"
"166","31062000293","45","192"
"167","31062000294","359","1227"
"168","31062000295","54","181"
"169","31062000297","112","402"
"170","31062000298","208","766"
"171","31062000299","248","800"
"172","31062000301","58","189"
"173","31062000302","96","319"
"174","31062000303","215","791"
"175","31062000304","259","952"
"176","31062000306","924","3278"
"177","31062000307","91","321"
"178","31062000309","63","187"
"179","31062000310","65","201"
"180","31062000311","104","384"
"181","31062000312","264","919"
"182","31062000313","108","434"
"183","31062000314","995","3665"
"184","31062000315","451","1600"
"185","31062000316","492","1723"
"186","31062000317","723","2710"
"187","31062000318","781","2851"
"188","31062000319","506","1809"
"189","31062000320","264","861"
"190","31063090001","507","1906"
"191","31067050001","307","1102"
"192","31067050002","7016","23107"
"193","31067050003","223","817"
"194","31067050004","939","3080"
"195","31067050005","266","923"
"196","31067050006","866","2940"
"197","31067050008","184","611"
"198","31067050009","863","2813"
"199","31067050011","64","234"
"200","31067050012","131","438"
"201","31067050013","304","1098"
"202","31067050014","204","781"
"203","31067050015","76","266"
"204","31067050016","87","296"
"205","31067050017","78","250"
"206","31067050018","310","1134"
"207","31067050019","272","914"
"208","31067050020","254","849"
"209","31067050021","51","160"
"210","31067050022","227","777"
"211","31067050023","323","1123"
"212","31078020001","89","286"
"213","31078020002","397","1313"
"214","31112000002","107","400"
"215","31134040001","946","3322"
"216","31134040002","1063","3362"
"217","31134040004","315","1056"
"218","31134040005","392","1221"
"219","31134040006","217","734"
"220","31134040007","1546","5450"
"221","31134040008","182","564"
"222","31186010002","581","1868"
"223","31186010004","166","557"
"224","31186010007","212","698"
"225","31186010008","453","1446"
"226","31186010009","90","276"
"227","31186010010","389","1289"
"228","31186010011","372","1272"
"229","31186010012","89","310"
"230","31186010014","888","2950"
"231","31186010016","569","1941"
"232","31186010017","38","124"
"233","31186010020","546","1844"
"234","31186010022","837","2779"
"235","31186010029","446","1506"
"236","31186010030","539","1949"
"237","31186010032","371","1353"
"238","31186010037","268","938"
"239","31186010038","616","2005"
"240","31186010041","13","64"
"241","31186010042","198","582"
"242","31186010044","211","744"
"243","31186010045","934","3093"
"244","31186010046","452","1679"
"245","31186010047","529","1830"
"246","31186010048","382","1316"
"247","31186010049","548","1823"
"248","31186010050","585","2117"
"249","31186010051","462","1843"
"250","31186010053","557","1928"
"251","31186010054","285","1033"
"252","31186010055","152","565"
"253","31186010056","266","972"
"254","31186010057","192","619"
"255","31186010058","278","937"
"256","31186010059","340","1254"
"257","31186010060","309","1048"
"258","31186010061","328","1258"
"259","31186010062","203","704"
"260","31186010063","505","1965"
"261","31186010064","348","1241"
"262","31186010065","198","705"
"263","31186010066","286","1077"
"264","31186010067","303","1120"
"265","31186010068","278","924"
"266","31186010069","177","617"
"267","31194010001","98","326"
"268","31194010002","1047","3496"
"269","31194010004","1045","3609"
"270","31194010006","256","946"
"271","31194010007","480","1525"
"272","31194010008","247","765"
"273","31194010009","220","816"
"274","31194010010","356","1161"
"275","31194010011","379","1162"
"276","31194010012","171","565"
"277","31194010013","232","787"
"278","31194010014","136","467"
"279","31194010015","213","781"
"280","31194010017","235","699"
"281","31194010018","318","1079"
"282","31194010019","122","473"
"283","31194010020","185","693"
"284","31194010022","171","597"
"285","31194010023","143","447"
"286","31194010024","189","611"
"287","31241040003","50","163"
"288","31241040005","280","977"
"289","31241040006","179","625"
"290","31277010001","313","1183"
"291","31277010002","429","1578"
"292","31277010003","266","927"
"293","31277010004","871","3056"
"294","31277010005","63","230"
"295","31277010006","97","316"
"296","31298060001","357","1228"
"297","31298060002","2471","8781"
"298","31298060003","2143","7391"
"299","31313070001","119","394"
"300","31313070006","208","734"
"301","31313070007","447","1575"
"302","31313070012","387","1407"
"303","31313070013","523","1828"
"304","31313070015","563","2093"
"305","31313070017","207","740"
"306","31313070018","1098","4070"
"307","31317030001","430","1631"
"308","31317030002","96","344"
"309","31317030003","517","1956"
"310","31327010001","155","509"
"311","31352090001","63","266"
"312","31367020003","76","256"
"313","31367020004","468","1604"
"314","31367020006","56","191"
"315","31367020007","117","423"
"316","31367020008","48","171"
"317","31367020010","65","223"
"318","31367020011","70","232"
"319","31367020014","83","284"
"320","31367020017","86","280"
"321","31367020022","187","661"
"322","31367020023","95","329"
"323","31367020025","45","162"
"324","31367020026","68","211"
"325","31367020032","136","455"
"326","31394090001","126","457"
"327","31394090002","263","829"
"328","31395080001","206","660"
"329","31395080002","559","1779"
"330","31405550001","64","240"
"331","31433020002","131","483"
"332","31433020003","792","3059"
"333","31433020006","708","2558"
"334","31433020009","446","1523"
"335","31433020014","280","1087"
"336","31433020016","241","950"
"337","31433020018","152","595"
"338","31433020019","499","2075"
"339","31433020022","129","480"
"340","31433020023","123","457"
"341","31433020024","94","363"
"342","31433020025","134","546"
"343","31433020026","188","694"
"344","31433020027","193","737"
"345","31471050001","174","628"
"346","31479070001","532","1862"
"347","31543090001","85","294"
"348","31546060001","865","2970"
"349","31546060003","142","474"
"350","31546060004","81","285"
"351","31546060005","436","1493"
"352","31546060006","1262","4509"
"353","31546060008","391","1502"
"354","31546060009","172","603"
"355","31546060010","125","467"
"356","31546060011","516","1885"
"357","31546060013","133","433"
"358","31567000003","271","1046"
"359","31567000004","185","745"
"360","31567000008","154","568"
"361","31567000009","783","2771"
"362","31578070001","82","309"
"363","31578070002","412","1462"
"364","31578070003","570","2066"
"365","31578070004","135","473"
"366","31578070005","81","316"
"367","31578070006","2123","8442"
"368","31578070007","133","484"
"369","31578070008","137","479"
"370","31578070009","1148","4320"
"371","31578070010","223","815"
"372","31629550001","163","649"
"373","31687050001","467","1619"
"374","31687050002","557","1847"
"375","31687050003","587","1989"
"376","31687050004","835","2920"
"377","31687050005","195","673"
"378","31687050006","373","1396"
"379","31687050007","629","2115"
"380","31712040001","237","848"
"381","31712040002","2393","8809"
"382","31712040003","833","2973"
"383","31712040004","484","1707"
"384","31712040005","938","3387"
"385","31712040006","423","1532"
"386","31712040007","498","1752"
"387","15003050001","897","4397"
"388","15005030001","309","1520"
"389","15006020001","1063","4436"
"390","15006020002","418","1535"
"391","15006020003","545","2282"
"392","15008000001","195","809"
"393","15008000002","1311","5056"
"394","15008000004","783","2916"
"395","15008000006","2407","9125"
"396","15008000007","326","1277"
"397","15008000008","2289","8832"
"398","15008000009","378","1427"
"399","15008000010","286","1105"
"400","15008000011","614","2390"
"401","15008000013","406","1443"
"402","15008000014","935","3620"
"403","15008000016","2995","11221"
"404","15008000017","1243","4946"
"405","15008000018","2199","8283"
"406","15008000019","375","1485"
"407","15008000020","206","752"
"408","15008000021","1261","4713"
"409","15008000022","230","866"
"410","15008000023","856","3099"
"411","15008000024","389","1472"
"412","15008000025","1534","5798"
"413","15008000026","970","3675"
"414","15008000027","1965","7314"
"415","15008000028","822","3027"
"416","15008000029","723","2770"
"417","15008000030","3077","11118"
"418","15008000032","3154","11750"
"419","15008000033","549","2087"
"420","15008000034","2185","8388"
"421","15008000035","201","670"
"422","15008000036","173","633"
"423","15008000037","557","2025"
"424","15008000038","4251","15545"
"425","15008000039","2158","7997"
"426","15008000040","502","1798"
"427","15008000041","529","2033"
"428","15008000042","7887","29709"
"429","15008000043","1204","4386"
"430","15008000044","541","2066"
"431","15008000045","787","2746"
"432","15008000046","443","1625"
"433","15008000047","1848","7183"
"434","15008000048","650","2440"
"435","15008000049","2134","7833"
"436","15008000050","750","2652"
"437","15008000051","718","2799"
"438","15008000052","830","3242"
"439","15008000053","3716","14295"
"440","15008000054","252","922"
"441","15008000055","2300","8306"
"442","15008000056","166","586"
"443","15008000057","376","1344"
"444","15008000058","515","2118"
"445","15008000059","2069","8097"
"446","15008000060","194","768"
"447","15008000061","464","1724"
"448","15008000062","223","874"
"449","15008000063","3183","11873"
"450","15008000064","479","1883"
"451","15008000065","182","736"
"452","15008000066","594","2198"
"453","15008000067","1231","4741"
"454","15013030001","244","948"
"455","15013030002","421","1625"
"456","15014020001","7379","30094"
"457","15014020002","2395","9117"
"458","15014020003","2515","9538"
"459","15014020004","1364","5994"
"460","15014020005","4051","15290"
"461","15014020006","3586","13766"
"462","15014020007","12666","53129"
"463","15014020008","9415","38873"
"464","15014020010","5200","21656"
"465","15014020011","8837","35111"
"466","15014020013","4615","17917"
"467","15014020022","1804","6902"
"468","15014020023","462","1718"
"469","15014020024","520","1915"
"470","15014020025","309","1188"
"471","15014020026","252","975"
"472","15014020027","302","1155"
"473","15014020028","675","2628"
"474","15014020029","368","1400"
"475","15014020030","726","2712"
"476","15014020031","348","1265"
"477","15014020032","1467","5714"
"478","15014020033","2641","9937"
"479","15014020035","568","2137"
"480","15014020036","1968","7473"
"481","15014020037","2826","11278"
"482","15014020038","1829","6902"
"483","15014020039","1221","4491"
"484","15014020040","506","1877"
"485","15014020041","575","1953"
"486","15014020042","452","1746"
"487","15014020043","1197","4285"
"488","15014020044","1037","3934"
"489","15014020045","709","2652"
"490","15014020046","1157","4059"
"491","15014020047","391","1470"
"492","15014020048","300","1140"
"493","15014020049","892","3647"
"494","15014020050","1539","5944"
"495","15014020051","2036","8711"
"496","15014020052","1964","7760"
"497","15014020053","1265","4845"
"498","15014020054","1710","6759"
"499","15014020055","1759","6922"
"500","15014020056","3659","14632"
"501","15014020057","7398","29609"
"502","15014020058","594","2524"
"503","15014020059","398","1553"
"504","15014020060","257","1009"
"505","15014020061","1613","6012"
"506","15014020062","1560","5620"
"507","15014020063","2381","8553"
"508","15014020064","1142","4905"
"509","15014020065","1174","4176"
"510","15014020066","10274","39706"
"511","15014020067","1735","7166"
"512","15014020068","197","827"
"513","15014020069","973","3606"
"514","15014020070","2195","8431"
"515","15014020071","2741","10377"
"516","15014020072","587","2308"
"517","15014020073","263","998"
"518","15014020074","377","1451"
"519","15014020075","322","1147"
"520","15014020076","692","2727"
"521","15014020077","353","1321"
"522","15014020078","2915","11434"
"523","15014020079","386","1463"
"524","15014020080","5030","19069"
"525","15014020081","480","1865"
"526","15014020082","482","1838"
"527","15014020083","637","2491"
"528","15014020084","1836","6724"
"529","15014020085","387","1401"
"530","15014020087","719","2696"
"531","15014020089","882","3199"
"532","15014020090","387","1477"
"533","15014020091","1740","5973"
"534","15014020092","3798","14786"
"535","15014020093","438","1691"
"536","15014020094","269","1085"
"537","15014020095","1407","5391"
"538","15014020096","425","1638"
"539","15014020097","1332","5117"
"540","15014020098","1890","7600"
"541","15014020099","1444","5725"
"542","15014020100","3505","13263"
"543","15014020102","1556","6450"
"544","15014020103","330","1187"
"545","15014020104","4341","17248"
"546","15014020105","252","1037"
"547","15014020106","1300","4820"
"548","15014020107","1213","4666"
"549","15014020108","869","3602"
"550","15014020109","929","3355"
"551","15014020110","2633","10160"
"552","15014020111","1565","5908"
"553","15014020112","1109","4097"
"554","15014020113","1351","5108"
"555","15014020114","734","2320"
"556","15014020115","6303","26003"
"557","15015010001","161","561"
"558","15015010002","63","204"
"559","15021030001","397","1734"
"560","15021030002","275","1514"
"561","15021030003","424","2005"
"562","15042080001","639","2626"
"563","15042080002","1038","4306"
"564","15042080003","1586","6206"
"565","15042080004","229","891"
"566","15042080005","216","945"
"567","15042080006","786","2892"
"568","15042080007","556","2280"
"569","15042080008","1033","3905"
"570","15042080009","367","1311"
"571","15042080010","600","2420"
"572","15042080011","263","1039"
"573","15044220001","111","456"
"574","15044220002","753","3035"
"575","15044220003","1613","6372"
"576","15044220004","3870","15525"
"577","15044220005","870","2924"
"578","15044220006","1653","6605"
"579","15044220007","230","846"
"580","15044220008","577","2273"
"581","15044220009","239","903"
"582","15044220010","625","2672"
"583","15044220011","721","2674"
"584","15044220012","1280","4862"
"585","15044220013","3109","12512"
"586","15044220014","895","3531"
