,CD_GEOCODM,NM_AGSN,CodAGSN,Estimated_Population,DPO_EmAGSN,Pop_EmAGSN,AbsoluteDifference,ProportionalDifference
0,3516408,VILA BAZU,35164080001.0,301.90716552734375,72,257,44.90716552734375,0.1747360526355788
1,3516408,PRETÓRIA,35164080002.0,3007.592529296875,808,3031,-23.407470703125,-0.007722689113535137
2,3516408,PARQUE MONTREAL,35164080004.0,316.0,88,316,0.0,0.0
3,3516408,VILA PALMARES,35164080005.0,551.3306884765625,193,688,-136.6693115234375,-0.19864725512127543
4,3516408,ARCO ÍRIS,35164080006.0,1385.0,383,1385,0.0,0.0
5,3516408,RUA ANTÔNIO DO NASCIMENTO,35164080009.0,234.0,66,234,0.0,0.0
6,3516408,RUA GERALDO HENRIQUE DA SILVA,35164080010.0,82.7099609375,63,238,-155.2900390625,-0.6524791557247899
7,3516408,RUA PINTASSILGO (PRETÓRIA),35164080011.0,818.5208740234375,207,754,64.5208740234375,0.08557145095946618
8,3516408,PARADINHA 1,35164080012.0,801.7381591796875,192,750,51.7381591796875,0.06898421223958333
9,3516408,PARADINHA 2,35164080013.0,176.0,43,176,0.0,0.0
10,3516408,RUA PARÁ,35164080014.0,380.0,110,380,0.0,0.0
11,3516408,RUA JOSÉ MOURÃO FILHO,35164080015.0,4.044826507568359,58,226,-221.95517349243164,-0.9821025375771312
12,3516408,RUA SERRANA,35164080017.0,399.0,107,399,0.0,0.0
13,3516408,RUA AMPARO,35164080018.0,540.977294921875,132,492,48.977294921875,0.09954734740218496
14,3550308,SEM DENOMINAÇÃO 14,35503080944.0,1118.0,333,1092,26.0,0.023809523809523808
15,3550308,JARDIM DO LAGO,35503081062.0,520.0,154,520,0.0,0.0
16,3550308,CASTELINHO,35503081063.0,453.9999694824219,122,454,-3.0517578125e-05,-6.721933507709252e-08
17,3550308,JARDIM MARISTELA II,35503080086.0,492.65948486328125,270,970,-477.34051513671875,-0.4921036238522874
18,3550308,NOSSA SENHORA DA ENCARNAÇÃO,35503080805.0,359.0,100,359,0.0,0.0
19,3550308,CÓRREGO JABUTICABAL,35503080806.0,,96,382,,
20,3550308,JOSÉ SERDEIRA RIBAS,35503080807.0,381.0,95,381,0.0,0.0
21,3550308,JARDIM CLÍMAX,35503080138.0,231.43508911132812,103,445,-213.56491088867188,-0.4799211480644312
22,3550308,VILA LIVIERO,35503080180.0,709.0,186,709,0.0,0.0
23,3550308,VILA CRISTINA,35503080234.0,2476.13916015625,513,1929,547.13916015625,0.28363875591303783
24,3550308,MENINO DO ENGENHO II,35503080821.0,182.23435974121094,500,1751,-1568.765640258789,-0.8959255512614444
25,3550308,MENINO DO ENGENHO I,35503080218.0,2491.2744140625,568,1946,545.2744140625,0.28020267937435767
26,3550308,EDUARDO VALIM,35503080808.0,822.0000610351562,225,822,6.103515625e-05,7.42520149026764e-08
27,3550308,SÃO PEDRO,35503080200.0,927.9999389648438,258,928,-6.103515625e-05,-6.577064251077586e-08
28,3550308,MORRO USP,35503080885.0,1820.0,501,1820,0.0,0.0
29,3550308,CHACRINHA,35503081189.0,203.2712860107422,236,761,-557.7287139892578,-0.7328892430870668
30,3550308,PASSAGEM II,35503081190.0,356.0,94,356,0.0,0.0
31,3550308,CAMPO DE LUTA,35503081191.0,714.0,209,714,0.0,0.0
32,3550308,TAPUIA,35503081192.0,388.0,111,388,0.0,0.0
33,3550308,MAURICE DENIS,35503081193.0,,139,528,,
34,3550308,PINTO DA LUZ,35503080068.0,1104.48193359375,231,781,323.48193359375,0.41418941561299616
35,3550308,JARDIM INDEPENDÊNCIA,35503080802.0,1006.9334716796875,293,988,18.9334716796875,0.01916343287417763
36,3550308,SÃO JOSÉ (VILA PRUDENTE),35503080095.0,1810.9083251953125,499,1790,20.9083251953125,0.01168062860073324
37,3550308,MANGUE,35503080803.0,318.900146484375,120,422,-103.099853515625,-0.24431244908915878
38,3550308,ANDRÉ DA CUNHA FONSECA,35503081167.0,368.0,100,368,0.0,0.0
39,3550308,PARQUE PEREIRA,35503081168.0,351.0,85,351,0.0,0.0
40,3550308,VILA FLÁVIA II,35503080145.0,1711.6279296875,397,1519,192.6279296875,0.12681233027485186
41,3550308,VILA FLÁVIA I,35503080122.0,1639.0,533,1915,-276.0,-0.14412532637075717
42,3550308,CAMPOS DE MELLO III,35503081219.0,543.0,150,543,0.0,0.0
43,3550308,VILA PAULISTANO I,35503081220.0,321.0,97,321,0.0,0.0
44,3550308,VILA PAULISTANO II,35503081221.0,65.0,21,65,0.0,0.0
45,3550308,TUFIK MEREB,35503081223.0,,38,138,,
46,3550308,JARDIM SÃO LOURENÇO,35503080658.0,681.0,183,681,0.0,0.0
47,3550308,JARDIM NAKAMURA I,35503080657.0,2185.74072265625,686,2328,-142.25927734375,-0.06110793700332904
48,3550308,BOULEVARD DA PAZ,35503081257.0,6359.8955078125,1850,6606,-246.1044921875,-0.03725469152096579
